Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,53,26.0,0.5135135135135135,0.003988035892322883,-0.05052816901408441,0.09742508658334582
Activist,23.0,42,19.0,0.5765765765765766,0.01249290176036344,-0.017834394904458595,0.2772736718154741
Monumental Memorialization,13.0,19,6.0,0.7117117117117117,-0.16154349247874444,-0.16315789473684195,0.6172826204072837
Mention of Scholarly Work,24.0,34,10.0,0.6036036036036037,-0.01622971285892638,-0.02228763666946998,0.3543952412425645
Social/Political Advocacy,51.0,63,12.0,0.42342342342342343,-0.140655105973025,-0.14879792072774523,-0.15231143552311438
Coalition Building,9.0,24,15.0,0.7027027027027027,-0.13370473537604477,-0.1693121693121693,0.601955990220049
Out of the Mouth of Academics,30.0,47,17.0,0.46846846846846846,-0.14353064431639595,-0.16784594715629186,0.02812198560510496
Out of the Mouth of Activists,11.0,19,8.0,0.7297297297297297,-0.14354395604395598,-0.15104166666666674,0.6472831267874166
Collective Synecdoche,26.0,74,48.0,0.35135135135135137,-0.10204081632653073,-0.3042622950819671,-0.2846809194663237
