Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,18,9.0,0.8108108108108109,0.42058165548098436,0.4173258003766479,0.7204533189422558
Activist,23.0,23,0.0,0.8738738738738738,0.6161067193675889,0.6178359683794465,0.8121600386800435
Monumental Memorialization,13.0,13,0.0,0.8918918918918919,0.47723704866562,0.47959183673469385,0.8637061291312801
Mention of Scholarly Work,24.0,52,28.0,0.7297297297297297,0.43939393939393945,0.4024873828406633,0.5083419459619076
Social/Political Advocacy,51.0,41,10.0,0.8018018018018018,0.5950248756218905,0.5934782608695652,0.6148872417599748
Coalition Building,9.0,3,6.0,0.9099099099099099,0.13145539906103276,0.12301587301587302,0.8996474098182805
Out of the Mouth of Academics,30.0,26,4.0,0.8558558558558559,0.6185567010309279,0.6196213425129088,0.7685390329727617
Out of the Mouth of Activists,11.0,6,5.0,0.8828828828828829,0.1777777777777778,0.17560975609756102,0.8635912463959918
Collective Synecdoche,26.0,28,2.0,0.8918918918918919,0.7064786249449097,0.7076719576719577,0.8289017341040462
