Code,Concreteness,F1,Accuracy
Scholar,3.5,0.875,0.7777777777777778
Activist,3.34,0.9302325581395349,0.8695652173913043
Monumental Memorialization,2.28,1.0,1.0
Mention of Scholarly Work,2.6566666666666667,0.8837209302325582,0.7916666666666666
Social/Political Advocacy,2.0,0.8791208791208791,0.7843137254901961
Coalition Building,3.695,0.8,0.6666666666666666
Out of the Mouth of Academics,3.7350000000000003,0.8235294117647058,0.7
Out of the Mouth of Activists,3.7350000000000003,0.42857142857142855,0.2727272727272727
Collective Synecdoche,2.52,0.96,0.9230769230769231
