Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,66,39.0,0.6126126126126126,0.29383044829116733,0.20788530465949828,0.2450771055753261
Activist,23.0,42,19.0,0.7387387387387387,0.39068710959681996,0.37197452229299366,0.5540624783542287
Monumental Memorialization,13.0,27,14.0,0.7837837837837838,0.2873194221508829,0.27142857142857135,0.6931229121069001
Mention of Scholarly Work,24.0,58,34.0,0.6576576576576577,0.33238366571699907,0.2684668989547039,0.3590639720407234
Social/Political Advocacy,51.0,54,3.0,0.7747747747747747,0.5485602733040508,0.5502645502645502,0.5508618596746783
Coalition Building,9.0,16,7.0,0.8648648648648649,0.33051869722557303,0.3269035532994924,0.8311102094639145
Out of the Mouth of Academics,30.0,46,16.0,0.7117117117117117,0.37420718816067644,0.3626532083633742,0.4755647423593681
Out of the Mouth of Activists,11.0,21,10.0,0.8018018018018018,0.20970873786407773,0.2003289473684211,0.7368818015300076
Collective Synecdoche,26.0,73,47.0,0.5765765765765766,0.2747115250938412,0.1469984396813665,0.16293622141997596
