Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,43,16.0,0.8198198198198198,0.5925110132158591,0.5845864661654135,0.6829024425082131
Activist,23.0,28,5.0,0.8828828828828829,0.670020580836954,0.6705653021442495,0.8187299792726587
Monumental Memorialization,13.0,20,7.0,0.9369369369369369,0.7527839643652561,0.7519640852974186,0.9155664221678891
Mention of Scholarly Work,24.0,46,22.0,0.7837837837837838,0.5210355987055016,0.5015037593984962,0.6194829310098557
Social/Political Advocacy,51.0,47,4.0,0.8018018018018018,0.5986193293885602,0.5999012508229098,0.6089671737389912
Coalition Building,9.0,4,5.0,0.9369369369369369,0.43326039387308535,0.430622009569378,0.9291220068415051
Out of the Mouth of Academics,30.0,34,4.0,0.8558558558558559,0.6492890995260663,0.6503164556962026,0.7555402615278733
Out of the Mouth of Activists,11.0,9,2.0,0.8918918918918919,0.34124629080118696,0.34356435643564354,0.8706921658091448
Collective Synecdoche,26.0,30,4.0,0.9279279279279279,0.8092783505154639,0.8098106712564543,0.8842695164863807
