Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,23,4.0,0.6036036036036037,-0.13370473537604455,-0.1306976744186048,0.39109836678718374
Activist,23.0,16,7.0,0.6486486486486487,-0.20484274979126083,-0.20765027322404372,0.5053984575835476
Monumental Memorialization,13.0,18,5.0,0.7387387387387387,-0.08274470232088804,-0.08241851038675896,0.6561081138828054
Mention of Scholarly Work,24.0,18,6.0,0.6576576576576577,-0.11058451816745651,-0.11084656084656097,0.5061468212153145
Social/Political Advocacy,51.0,53,2.0,0.42342342342342343,-0.15738025415444779,-0.15254237288135597,-0.14858528698464024
Coalition Building,9.0,4,5.0,0.8828828828828829,-0.052516411378555894,-0.05741626794258359,0.8683694412770809
Out of the Mouth of Academics,30.0,26,4.0,0.5855855855855856,-0.09664948453608257,-0.09358864027538716,0.33454971979668974
Out of the Mouth of Activists,11.0,11,0.0,0.8378378378378378,0.0918181818181818,0.09590909090909094,0.8025886770082007
Collective Synecdoche,26.0,36,10.0,0.5495495495495496,-0.10778443113772451,-0.11391129032258074,0.2460263551147943
