Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,16,11.0,0.8108108108108109,0.40368380660015346,0.397037806937768,0.7248745942755975
Activist,23.0,10,13.0,0.8828828828828829,0.5494848579456759,0.5393618726952061,0.8431947840260798
Monumental Memorialization,13.0,12,1.0,0.990990990990991,0.9549330085261876,0.9551269035532994,0.9887406806309276
Mention of Scholarly Work,24.0,15,9.0,0.8648648648648649,0.5386533665835411,0.5355191256830601,0.8097686375321338
Social/Political Advocacy,51.0,38,13.0,0.7927927927927928,0.5747126436781609,0.5705837627777308,0.6012495119094103
Coalition Building,9.0,0,9.0,0.918918918918919,0.0,-0.03755868544600949,0.9120792079207921
Out of the Mouth of Academics,30.0,12,18.0,0.8198198198198198,0.436834094368341,0.41534391534391535,0.7400772743238496
Out of the Mouth of Activists,11.0,4,7.0,0.8828828828828829,0.0849714648065949,0.07471819645732691,0.8659980498676695
Collective Synecdoche,26.0,26,0.0,0.9099099099099099,0.748868778280543,0.75,0.8595114542462979
