Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,32.0,5.0,0.8468468468468469,0.6085874299937772,0.6093376312779453,0.7488186356073212
Activist,23.0,24.0,1.0,0.9369369369369369,0.8110867979576951,0.8119148936170213,0.9053420235122129
Monumental Memorialization,13.0,13.0,0.0,1.0,1.0,1.0,1.0
Mention of Scholarly Work,24.0,25.0,1.0,0.9009009009009009,0.7119603680113233,0.7132240179308718,0.8489328796783175
Social/Political Advocacy,51.0,49.0,2.0,0.8198198198198198,0.6361848574237955,0.637704918032787,0.6431441890371322
Coalition Building,9.0,10.0,1.0,0.9369369369369369,0.5972006220839814,0.5989110707803993,0.9252345441424104
Out of the Mouth of Academics,30.0,28.0,2.0,0.8558558558558559,0.6267339218158889,0.6282590412111018,0.7652346331791143
Out of the Mouth of Activists,11.0,6.0,5.0,0.9009009009009009,0.3042735042735043,0.30243902439024395,0.8845772084889162
Collective Synecdoche,26.0,31.0,5.0,0.918918918918919,0.7881230116648993,0.7885167464114833,0.8688718251624337
