Code,Gold Standard Count,GPT-4: Per-Code w/ Just,GPT-4: Per-Code w/o Just,GPT-4: Full w/ Just,GPT-4: Full w/o Just,GPT-3.5: Per-Code w/ Just,GPT-3.5: Per-Code w/o Just,Gemini: Per-Code w/ Just,Gemini: Full w/ Just,Llama: Per-Code w/ Just,Concreteness,Kappa_GPT4,Kappa_GPT35,Kappa_Gemini,Kappa_Llama
Scholar,27.0,0.6085874299937772,0.5162023877202957,0.5925110132158591,0.4205816554809843,0.2938304482911673,0.2062706270627062,0.0039880358923228,-0.0735751295336788,-0.1337047353760445,3.5,0.6085874299937772,0.2938304482911673,0.0039880358923228,-0.1337047353760445
Activist,23.0,0.8110867979576951,0.6491611962071481,0.670020580836954,0.6161067193675889,0.3906871095968199,0.3153566345089356,0.0124929017603634,-0.0004506534474988,-0.2048427497912608,3.34,0.8110867979576951,0.3906871095968199,0.0124929017603634,-0.2048427497912608
Monumental Memorialization,13.0,1.0,0.91287284144427,0.7527839643652561,0.47723704866562,0.2873194221508829,0.3083314101084698,-0.1615434924787444,-0.1434878587196466,-0.082744702320888,2.28,1.0,0.2873194221508829,-0.1615434924787444,-0.082744702320888
Mention of Scholarly Work,24.0,0.7119603680113233,0.6903765690376569,0.5210355987055016,0.4393939393939394,0.332383665716999,0.3890608875128998,-0.0162297128589263,-0.0802919708029197,-0.1105845181674565,2.6566666666666667,0.7119603680113233,0.332383665716999,-0.0162297128589263,-0.1105845181674565
Social/Political Advocacy,51.0,0.6361848574237955,0.6033138401559455,0.5986193293885602,0.5950248756218905,0.5485602733040508,0.5052531041069723,-0.140655105973025,-0.0950994662785056,-0.1573802541544477,2.0,0.6361848574237955,0.5485602733040508,-0.140655105973025,-0.1573802541544477
Coalition Building,9.0,0.5972006220839814,0.443609022556391,0.4332603938730853,0.1314553990610327,0.330518697225573,0.1695760598503741,-0.1337047353760447,-0.0525164113785558,-0.0525164113785558,3.695,0.5972006220839814,0.330518697225573,-0.1337047353760447,-0.0525164113785558
Out of the Mouth of Academics,30.0,0.6267339218158889,0.6462715105162524,0.6492890995260663,0.6185567010309279,0.3742071881606764,0.3278993945039591,-0.1435306443163959,0.0115243583027763,-0.0966494845360825,3.7350000000000003,0.6267339218158889,0.3742071881606764,-0.1435306443163959,-0.0966494845360825
Out of the Mouth of Activists,11.0,0.3042735042735043,0.0918181818181818,0.3412462908011869,0.1777777777777778,0.2097087378640777,0.1250447868147617,-0.1435439560439559,-0.0183486238532111,0.0918181818181818,3.7350000000000003,0.3042735042735043,0.2097087378640777,-0.1435439560439559,0.0918181818181818
Collective Synecdoche,26.0,0.7881230116648993,0.7769591426657736,0.8092783505154639,0.7064786249449097,0.2747115250938412,0.2747115250938412,-0.1020408163265307,-0.220363288718929,-0.1077844311377245,2.52,0.7881230116648993,0.2747115250938412,-0.1020408163265307,-0.1077844311377245
