Code,Concreteness,F1_GPT4,Acc_GPT4,F1_GPT35,Acc_GPT35,F1_Gemini,Acc_Gemini,F1_Llama,Acc_Llama
Scholar,3.5,0.711864406779661,0.8468468468468469,0.5376344086021505,0.6126126126126126,0.325,0.5135135135135135,0.12,0.6036036036036037
Activist,3.34,0.851063829787234,0.9369369369369369,0.5538461538461539,0.7387387387387387,0.27692307692307694,0.5765765765765766,0.0,0.6486486486486487
Monumental Memorialization,2.28,1.0,1.0,0.4,0.7837837837837838,0.0,0.7117117117117117,0.06451612903225806,0.7387387387387387
Mention of Scholarly Work,2.6566666666666667,0.7755102040816326,0.9009009009009009,0.5365853658536586,0.6576576576576577,0.2413793103448276,0.6036036036036037,0.09523809523809523,0.6576576576576577
Social/Political Advocacy,2.0,0.8,0.8198198198198198,0.7619047619047619,0.7747747747747747,0.43859649122807015,0.42342342342342343,0.38461538461538464,0.42342342342342343
Coalition Building,3.695,0.631578947368421,0.9369369369369369,0.4,0.8648648648648649,0.0,0.7027027027027027,0.0,0.8828828828828829
Out of the Mouth of Academics,3.7350000000000003,0.7241379310344828,0.8558558558558559,0.5789473684210527,0.7117117117117117,0.23376623376623376,0.46846846846846846,0.17857142857142858,0.5855855855855856
Out of the Mouth of Activists,3.7350000000000003,0.35294117647058826,0.9009009009009009,0.3125,0.8018018018018018,0.0,0.7297297297297297,0.18181818181818182,0.8378378378378378
Collective Synecdoche,2.52,0.8421052631578947,0.918918918918919,0.5252525252525253,0.5765765765765766,0.28,0.35135135135135137,0.1935483870967742,0.5495495495495496
