"Code","Concreteness","F1","Accuracy"
"Scholar",3.5,0.875,0.777777777777778
"Activist",3.34,0.930232558139535,0.869565217391304
"Monumental Memorialization",2.28,1,1
"Mention of Scholarly Work",2.65666666666667,0.883720930232558,0.791666666666667
"Social/Political Advocacy",2,0.879120879120879,0.784313725490196
"Coalition Building",3.695,0.8,0.666666666666667
"Out of the Mouth of Academics",3.735,0.823529411764706,0.7
"Out of the Mouth of Activists",3.735,0.428571428571429,0.272727272727273
"Collective Synecdoche",2.52,0.96,0.923076923076923
