Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,75,48.0,0.5315315315315315,0.20627062706270627,0.061111111111111116,0.06918238993710693
Activist,23.0,58,35.0,0.6486486486486487,0.3153566345089356,0.24533753611767795,0.3451327433628319
Monumental Memorialization,13.0,34,21.0,0.7567567567567568,0.30833141010846987,0.2745288753799392,0.6348906621185357
Mention of Scholarly Work,24.0,50,26.0,0.7117117117117117,0.3890608875128998,0.3542731921110299,0.4810810810810809
Social/Political Advocacy,51.0,69,18.0,0.7477477477477478,0.5052531041069723,0.49444444444444446,0.49879051765844223
Coalition Building,9.0,41,32.0,0.6756756756756757,0.16957605985037416,0.07488372093023243,0.5018077546440594
Out of the Mouth of Academics,30.0,61,31.0,0.6486486486486487,0.3278993945039591,0.27699018538713194,0.3193931294709537
Out of the Mouth of Activists,11.0,49,38.0,0.6036036036036037,0.12504478681476172,-0.0004115226337448874,0.3453960595094492
Collective Synecdoche,26.0,73,47.0,0.5765765765765766,0.2747115250938412,0.1469984396813665,0.16293622141997596
