Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,40,13.0,0.7927927927927928,0.5162023877202957,0.5105440539239288,0.6418601388791471
Activist,23.0,24,1.0,0.8828828828828829,0.6491611962071481,0.6506990881458967,0.8242066150941098
Monumental Memorialization,13.0,13,0.0,0.9819819819819819,0.9128728414442701,0.9132653061224489,0.9772843548552133
Mention of Scholarly Work,24.0,26,2.0,0.8918918918918919,0.6903765690376569,0.6916279069767441,0.8339359182146865
Social/Political Advocacy,51.0,55,4.0,0.8018018018018018,0.6033138401559455,0.6045868575146389,0.6044062854365787
Coalition Building,9.0,15,6.0,0.8918918918918919,0.443609022556391,0.44191919191919193,0.8660633484162896
Out of the Mouth of Academics,30.0,27,3.0,0.8648648648648649,0.6462715105162524,0.6475279106858054,0.7814530419373893
Out of the Mouth of Activists,11.0,11,0.0,0.8378378378378378,0.0918181818181818,0.09590909090909094,0.8025886770082007
Collective Synecdoche,26.0,27,1.0,0.918918918918919,0.7769591426657736,0.7779390420899854,0.8726171501434492
