Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,49,22.0,0.4954954954954955,-0.07357512953367884,-0.11535688536409516,0.08223829912889423
Activist,23.0,29,6.0,0.6396396396396397,-0.00045065344749883884,0.0,0.4380458169851918
Monumental Memorialization,13.0,15,2.0,0.7477477477477478,-0.14348785871964664,-0.1391752577319587,0.6764185320145758
Mention of Scholarly Work,24.0,36,12.0,0.5675675675675675,-0.08029197080291972,-0.09135802469135812,0.28588661037394447
Social/Political Advocacy,51.0,58,7.0,0.45045045045045046,-0.09509946627850563,-0.09450353170414871,-0.09874239350912774
Coalition Building,9.0,4,5.0,0.8828828828828829,-0.052516411378555894,-0.05741626794258359,0.8683694412770809
Out of the Mouth of Academics,30.0,47,17.0,0.5405405405405406,0.011524358302776316,-0.009493954321540432,0.1599020553535654
Out of the Mouth of Activists,11.0,12,1.0,0.8108108108108109,-0.01834862385321112,-0.013982958269608936,0.7676551208572141
Collective Synecdoche,26.0,22,4.0,0.5855855855855856,-0.22036328871892907,-0.21719348659003823,0.37311233885819517
