Code,Coder 1,Coder 2,Difference,% Agreement,Kappa,Alpha,Gwets AC1
Scholar,27.0,45,18.0,0.7837837837837838,0.5210355987055016,0.5088888888888888,0.6150845253576074
Activist,23.0,40,17.0,0.8288288288288288,0.5907238501843586,0.5808126185484677,0.7115897435897435
Monumental Memorialization,13.0,14,1.0,0.990990990990991,0.9578427649069502,0.9580246913580247,0.9885431181297414
Mention of Scholarly Work,24.0,38,14.0,0.8378378378378378,0.604982206405694,0.5989919354838709,0.7285694878413259
Social/Political Advocacy,51.0,66,15.0,0.7927927927927928,0.5918465227817746,0.5862433862433862,0.5867929109007041
Coalition Building,9.0,25,16.0,0.7837837837837838,0.1985559566787003,0.17021276595744683,0.708054794520548
Out of the Mouth of Academics,30.0,47,17.0,0.7387387387387387,0.43792561550550024,0.425974025974026,0.5222972471618312
Out of the Mouth of Activists,11.0,21,10.0,0.8018018018018018,0.20970873786407773,0.2003289473684211,0.7368818015300076
Collective Synecdoche,26.0,70,44.0,0.5855855855855856,0.27223489167616877,0.15955687830687826,0.18603538976566242
